0, 6, 10, 17, 20, 23, 18, 26, 26, 24, 28, 18, 25, 34, 49, 39, 31, 40, 47, 56, 58, 60, 50, 44, 31, 40, 37, 47, 43, 49, 7, 
6, 0, 12, 11, 14, 17, 14, 28, 20, 20, 30, 24, 31, 40, 45, 35, 29, 36, 43, 52, 54, 56, 46, 40, 27, 36, 31, 43, 49, 53, 13, 
10, 12, 0, 11, 21, 17, 8, 16, 24, 14, 18, 26, 19, 28, 39, 29, 21, 30, 37, 46, 48, 50, 40, 34, 21, 30, 35, 37, 37, 43, 17, 
17, 11, 11, 0, 10, 6, 3, 17, 16, 9, 26, 35, 30, 29, 34, 24, 18, 25, 32, 41, 43, 45, 35, 29, 16, 25, 27, 32, 38, 42, 24, 
20, 14, 21, 10, 0, 4, 13, 27, 6, 19, 36, 38, 40, 39, 44, 34, 28, 35, 42, 51, 53, 47, 37, 31, 21, 27, 17, 42, 48, 52, 27, 
23, 17, 17, 6, 4, 0, 9, 23, 10, 15, 32, 41, 36, 35, 40, 30, 24, 31, 38, 47, 49, 51, 41, 35, 22, 31, 21, 38, 44, 48, 30, 
18, 14, 8, 3, 13, 9, 0, 14, 16, 6, 23, 34, 27, 26, 31, 21, 15, 22, 29, 38, 40, 42, 32, 26, 13, 22, 27, 29, 35, 39, 25, 
26, 28, 16, 17, 27, 23, 14, 0, 21, 8, 9, 22, 15, 19, 33, 23, 5, 24, 31, 40, 42, 44, 34, 28, 15, 24, 32, 31, 28, 34, 33, 
26, 20, 24, 16, 6, 10, 16, 21, 0, 13, 30, 43, 36, 33, 38, 28, 22, 29, 36, 45, 47, 41, 31, 25, 15, 21, 11, 36, 42, 46, 33, 
24, 20, 14, 9, 19, 15, 6, 8, 13, 0, 17, 30, 23, 20, 25, 15, 9, 16, 23, 32, 34, 36, 26, 20, 7, 16, 24, 23, 29, 33, 31, 
28, 30, 18, 26, 36, 32, 23, 9, 30, 17, 0, 13, 6, 10, 25, 32, 14, 33, 40, 49, 36, 53, 43, 37, 24, 33, 41, 40, 19, 25, 24, 
18, 24, 26, 35, 38, 41, 34, 22, 43, 30, 13, 0, 7, 16, 31, 41, 27, 46, 53, 62, 42, 66, 56, 50, 37, 46, 54, 49, 25, 31, 11, 
25, 31, 19, 30, 40, 36, 27, 15, 36, 23, 6, 7, 0, 9, 24, 34, 20, 39, 46, 55, 35, 59, 49, 43, 30, 39, 47, 42, 18, 24, 18, 
34, 40, 28, 29, 39, 35, 26, 19, 33, 20, 10, 16, 9, 0, 15, 25, 24, 36, 39, 48, 26, 56, 46, 40, 27, 36, 44, 33, 9, 15, 27, 
49, 45, 39, 34, 44, 40, 31, 33, 38, 25, 25, 31, 24, 15, 0, 10, 34, 26, 27, 36, 19, 45, 35, 33, 32, 37, 47, 18, 14, 8, 42, 
39, 35, 29, 24, 34, 30, 21, 23, 28, 15, 32, 41, 34, 25, 10, 0, 24, 16, 17, 26, 19, 35, 25, 23, 22, 27, 37, 8, 24, 18, 46, 
31, 29, 21, 18, 28, 24, 15, 5, 22, 9, 14, 27, 20, 24, 34, 24, 0, 25, 32, 41, 43, 45, 35, 29, 16, 25, 33, 32, 33, 39, 38, 
40, 36, 30, 25, 35, 31, 22, 24, 29, 16, 33, 46, 39, 36, 26, 16, 25, 0, 7, 16, 20, 23, 13, 7, 20, 11, 21, 16, 37, 31, 47, 
47, 43, 37, 32, 42, 38, 29, 31, 36, 23, 40, 53, 46, 39, 27, 17, 32, 7, 0, 9, 13, 18, 8, 14, 27, 18, 28, 9, 30, 24, 54, 
56, 52, 46, 41, 51, 47, 38, 40, 45, 32, 49, 62, 55, 48, 36, 26, 41, 16, 9, 0, 22, 10, 17, 23, 36, 27, 37, 18, 39, 33, 63, 
58, 54, 48, 43, 53, 49, 40, 42, 47, 34, 36, 42, 35, 26, 19, 19, 43, 20, 13, 22, 0, 31, 21, 27, 40, 31, 41, 11, 17, 11, 53, 
60, 56, 50, 45, 47, 51, 42, 44, 41, 36, 53, 66, 59, 56, 45, 35, 45, 23, 18, 10, 31, 0, 10, 16, 29, 20, 30, 27, 48, 42, 67, 
50, 46, 40, 35, 37, 41, 32, 34, 31, 26, 43, 56, 49, 46, 35, 25, 35, 13, 8, 17, 21, 10, 0, 6, 19, 10, 20, 17, 38, 32, 57, 
44, 40, 34, 29, 31, 35, 26, 28, 25, 20, 37, 50, 43, 40, 33, 23, 29, 7, 14, 23, 27, 16, 6, 0, 13, 4, 14, 23, 44, 38, 51, 
31, 27, 21, 16, 21, 22, 13, 15, 15, 7, 24, 37, 30, 27, 32, 22, 16, 20, 27, 36, 40, 29, 19, 13, 0, 9, 19, 30, 36, 40, 38, 
40, 36, 30, 25, 27, 31, 22, 24, 21, 16, 33, 46, 39, 36, 37, 27, 25, 11, 18, 27, 31, 20, 10, 4, 9, 0, 10, 27, 45, 42, 47, 
37, 31, 35, 27, 17, 21, 27, 32, 11, 24, 41, 54, 47, 44, 47, 37, 33, 21, 28, 37, 41, 30, 20, 14, 19, 10, 0, 37, 53, 52, 44, 
47, 43, 37, 32, 42, 38, 29, 31, 36, 23, 40, 49, 42, 33, 18, 8, 32, 16, 9, 18, 11, 27, 17, 23, 30, 27, 37, 0, 25, 19, 54, 
43, 49, 37, 38, 48, 44, 35, 28, 42, 29, 19, 25, 18, 9, 14, 24, 33, 37, 30, 39, 17, 48, 38, 44, 36, 45, 53, 25, 0, 6, 36, 
49, 53, 43, 42, 52, 48, 39, 34, 46, 33, 25, 31, 24, 15, 8, 18, 39, 31, 24, 33, 11, 42, 32, 38, 40, 42, 52, 19, 6, 0, 42, 
7, 13, 17, 24, 27, 30, 25, 33, 33, 31, 24, 11, 18, 27, 42, 46, 38, 47, 54, 63, 53, 67, 57, 51, 38, 47, 44, 54, 36, 42, 0, 
